"13058","1E AB"
"13060","1D AB"
"13061","6B LLL"
"13063","1E LLL"
"13064","1F LLL"
"13065","1D"
"13067","1D LLL"
"13069","1c LLL"
"13070","1D AB"
"13072","5G LLL"
"13074","1E Ab"
"13075","1C LLL"
"13077","1D LLL"
"13082","2F LLL"
"13085","1D AB"
"13087","1D AB"
"13088","8b LLL"
"13089","5G LLL"
"13093","1F LLL"
"13096","2c LLL"
"13098","5G LLL"
"13100","1c"
"13102","1D LLL"
"13103","1E LLL"
"13105","7e AB"
"13106","7e AB"
"13107","7H AB"
"13108","1D AB"
"13109","1D AB"
"13111","2c LLL"
"13112","1E LLL"
"13118","5G LLL"
"13126","5G LLL"
"13127","5G LLl"
"13128","5G LLL"
"13129","5G AB"
"13132","7e AB"
"13133","6H LLL"
"13134","2L LLL"
"13136","2c LLL"
"13137","b7b AB"
"13139","1e lll"
"13140","2H LLL"
"13142","1H LLL"
"13145","9F AB"
"13148","4F"
"13151","1i LLL"
"13153","1H LLL"
"13154","1H LLL"
"13155","1G LLL"
"13156","1G LLL"
"13158","3E"
"13159","1F LLL"
"13161","1F LLL"
"13166","3i LLL"
"13167","6d AB"
"13169","1h AB"
"13171","1h  LLL?"
"13175","2g CC19"
"13178","3E LLL"
"13179","3E LLL"
"13181","1G AB"
"13183","1G LLL"
"13185","1G LLL"
"13187","1G LLL"
"13193","2f CC19"
"13194","2G CC19"
"13197","3G Ab"
"13200","3F LLL"
"13201","3i AB"
"13204","4G AB"
"13206","4G"
"13207","4F AB"
"13208","1H LLL"
"13210","3E LLL"
"13211","1E LLL"
"13212","6d CC19"
"13213","1E AB"
"13214","9E LLL"
"13215","1E LLL"
"13220","6H LLL"
"13223","6C LLL"
"13224","6C LLL"
"13225","6H AB"
"13227","6C LLL"
"13229","4G LLL"
"13230","4G LLL"
"13231","3F LLL"
"13233","3H CC19"
"13234","1D LLL"
"13236","3G LLL"
"13241","1G LLL"
"13249","4F LLL"
"13262","1J AB"
"13273","1F LLL"
"13278","1D AB"
"13280","1D lll"
"13283","1G LLL"
"13284","1G LLL"
"13292","6H LLL"
"13293","1F AB"
"13297","1f LLL"
"13299","1B 20H"
"13306","2E 20H"
"13308","2E 19CC    "
"13323","3f AB"
"13327","3F AB"
"13331","1B AB"
"13332","1B AB"
"13337","1D LLL"
"13338","2F AB"
"13339","1G LLL"
"13340","2i LLL"
"13341","1G AB"
"13343","1E LLL"
"13348","1F LLL"
"13349","1B LLL"
"13351","2H LLL"
"13353","1B LLL"
"13365","4H LLL"
"13368","3F LLL"
"13369","3F LLL"
"13371","3F LLL"
"13372","3F LLL"
"13373","3F LLL"
"13377","1i LLL"
"13393","4e "
"13394","3h"
"13397","4f"
"13399","3h"
"13403","2e"
"13404","2e"
"13405","casa"
"13406","2d 19P"
"13407","1H 19P"
"13414","3B AB"
"13415","3i AB"
"13416","3i AB"
"13417","3i AB"
"13418","3i AB"
"13419","3i AB"
"13421","3j"
"13422","3j"
"13424","2E"
"13425","2E"
"13426","B7B"
"13429","1E"
"13430","1E"
"13431","2J"
"13433","3i"
"13434","3i"
"13435","3i"
"13436","3i"
"13437","3i"
"13438","3i"
"13442","3i "
"13445","4i LLL"
"13449","1E"
"13450","1E"
"13454","4G AB"
"13461","6i AB"
"13462","b2c AB"
"13464","6B"
"13465","6B AB"
"13466","6B Ab"
"13467","2c lll"
"13468","2c ab"
"13471","6B"
"13472","6B"
"13476","6H LLL"
"13484","1i LLL"
"13485","4f LLL"
"13487","1i Ab"
"13488","1i LLL"
"13492","3h LLL"
"13504","3F lLL"
"13506","4C LLL"
"13511",""
"13512",""
"13513",""
"13514",""
"13515",""
"13516",""
"13517",""
"13518",""
"13519",""
"13520",""
"13521",""
"13522",""
"13523",""
"13524",""
"13525",""
"13526",""
"13527",""
"13528",""
"13529",""
"13530",""
"13531",""
"13532",""
"13533",""
"13534","3E LLL"
"13537","3E LLL"
"13540","3F AB"
"13548","2i LLL"
"13551","3C LLL"
"13552","3C LLL"
"13553","3G"
"13556","3F LLL"
"13557","3F AB"
"13559","3F LLL"
"13560","3G LLL"
"13561","3G LLL"
"13562","3G LLL"
"13563","3G LLL"
"13564","3g LLL"
